Year,Session,Bid(s),,Vote,,,,,Host
,,Lausanne,Switzerland,0,—,,,,
,,Stockholm,Sweden,0,—,,,,
1956,28 April 1949,Melbourne,Australia,14,18,19,21,—,Melbourne
,,Buenos Aires,Argentina,9,12,13,20,,
,,Los Angeles,United States,5,4,5,—,,
,,Detroit,United States,2,4,4,—,,
,,Mexico City,Mexico,9,3,—,—,,
,,Chicago,United States,1,—,—,—,,
,,Minneapolis,United States,1,—,—,—,,
,,Philadelphia,United States,1,—,—,—,,
,,San Francisco,United States,0,—,—,—,,
,,Montreal,Canada,0,—,—,—,,
1960,15 June 1955,Rome,Italy,15,26,35,—,—,Rome
,,Lausanne,Switzerland,14,21,24,,,
,,Detroit,United States,6,11,—,,,
,,Budapest,Hungary,8,1,—,,,
,,Brussels,Belgium,6,—,—,,,
,,Mexico City,Mexico,6,—,—,,,
,,Tokyo,Japan,6,—,—,,,
1964,26 May 1959,Tokyo,Japan,30,—,—,—,—,Tokyo
,,Detroit,United States,10,,,,,
,,Vienna,Austria,9,,,,,
,,Brussels,Belgium,5,,,,,
1968,18 October 1963,Mexico City,Mexico,30,—,—,—,—,Mexico City
,,Detroit,United States,14,,,,,
,,Lyon,France,12,,,,,
,,Buenos Aires,Argentina,2,,,,,
1972,25 April 1966,Munich,West Germany,29,31,—,—,—,Munich
,,Madrid,Spain,16,16,,,,
,,Montreal,Canada,6,13,,,,
,,Detroit,United States,6,—,,,,
1976,12 May 1970,Montreal,Canada,25,41,—,—,—,Montreal
,,Moscow,Soviet Union,28,28,,,,
,,Los Angeles,United States,17,—,,,,
1980,13 October 1974,Moscow,Soviet Union,39,—,—,—,—,Moscow
,,Los Angeles,United States,20,,,,,
1984,18 May 1978,Los Angeles,United States,—,—,—,—,—,Los Angeles
1988,30 September 1981,Seoul,South Korea,52,—,—,—,—,Seoul
,,Nagoya,Japan,27,,,,,
1992,16 October 1986,Barcelona,Spain,29,37,47,—,—,Barcelona
,,Paris,France,19,20,23,,,
,,Brisbane,Australia,11,9,10,,,
,,Belgrade,Yugoslavia,13,11,5,,,
,,Birmingham,United Kingdom,8,8,—,,,
,,Amsterdam,Netherlands,5,—,—,,,
1996,18 September 1990,Atlanta,United States,19,20,26,34,51,Atlanta
,,Athens,Greece,23,23,26,30,35,
,,Toronto,Canada,14,17,18,22,—,
,,Melbourne,Australia,12,21,16,—,—,
,,Manchester,United Kingdom,11,5,—,—,—,
,,Belgrade,Yugoslavia,7,—,—,—,—,
2000,23 September 1993,Sydney,Australia,30,30,37,45,—,Sydney
,,Beijing,China,32,37,40,43,,
,,Manchester,United Kingdom,11,13,11,—,,
,,Berlin,Germany,9,9,—,—,,
,,Istanbul,Turkey,7,—,—,—,,
2004,5 September 1997,Athens,Greece,32,—,38,52,66,Athens
,,Rome,Italy,23,—,28,35,41,
,,Cape Town,South Africa,16,62,22,20,—,
,,Stockholm,Sweden,20,—,19,—,—,
,,Buenos Aires,Argentina,16,44,—,—,—,
,,Istanbul,Turkey,—,—,—,—,—,
,,Lille,France,—,—,—,—,—,
,,Rio de Janeiro,Brazil,—,—,—,—,—,
,,Saint Petersburg,Russia,—,—,—,—,—,
,,San Juan,Puerto Rico,—,—,—,—,—,
,,Seville,Spain,—,—,—,—,—,
2008,13 July 2001,Beijing,China,44,56,—,—,—,Beijing
,,Toronto,Canada,20,22,,,,
,,Paris,France,15,18,,,,
,,Istanbul,Turkey,17,9,,,,
,,Osaka,Japan,6,—,,,,
,,Bangkok,Thailand,—,—,,,,
,,Cairo,Egypt,—,—,,,,
,,Havana,Cuba,—,—,,,,
,,Kuala Lumpur,Malaysia,—,—,,,,
,,Seville,Spain,—,—,,,,
2012,6 July 2005,London,United Kingdom,22,27,39,54,—,London
,,Paris,France,21,25,33,50,,
,,Madrid,Spain,20,32,31,—,,
,,New York City,United States,19,16,—,—,,
,,Moscow,Russia,15,—,—,—,,
,,Havana,Cuba,—,—,—,—,,
,,Istanbul,Turkey,—,—,—,—,,
,,Leipzig,Germany,—,—,—,—,,
,,Rio de Janeiro,Brazil,—,—,—,—,,
2016,2 October 2009,Rio de Janeiro,Brazil,26,46,66,—,—,Rio de Janeiro
,,Madrid,Spain,28,29,32,,,
,,Tokyo,Japan,22,20,—,,,
,,Chicago,United States,18,—,—,,,
,,Baku,Azerbaijan,—,—,—,,,
,,Doha,Qatar,—,—,—,,,
,,Prague,Czech Republic,—,—,—,,,
2020,7 September 2013,Tokyo,Japan,42,—,60,—,—,Tokyo
,,Istanbul,Turkey,26,49,36,,,
,,Madrid,Spain,26,45,—,,,
,,Baku,Azerbaijan,—,—,—,,,
,,Doha,Qatar,—,—,—,,,
,,Rome,Italy,—,—,—,,,
2024,7 September 2017,Belfast,Ireland,—,—,—,,,
